[INFO] 2025-09-08 17:02:00,937 basehttp "GET /admin/campaigns/uploadedfile/ HTTP/1.1" 200 10869
[INFO] 2025-09-08 17:02:00,976 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
[INFO] 2025-09-08 17:02:01,566 basehttp "GET /admin/campaigns/webhooklog/ HTTP/1.1" 200 10698
[INFO] 2025-09-08 17:02:01,601 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
[INFO] 2025-09-09 05:42:29,255 autoreload Watching for file changes with StatReloader
[INFO] 2025-09-09 05:44:14,343 autoreload Watching for file changes with StatReloader
[INFO] 2025-09-09 05:45:35,621 autoreload Watching for file changes with StatReloader
[WARNING] 2025-09-09 05:48:11,391 log Bad Request: /api/auth/login/
[WARNING] 2025-09-09 05:48:11,391 basehttp "POST /api/auth/login/ HTTP/1.1" 400 71
[INFO] 2025-09-09 05:56:19,673 basehttp "GET /admin/campaigns/webhooklog/ HTTP/1.1" 302 0
[INFO] 2025-09-09 05:56:19,978 basehttp "GET /admin/login/?next=/admin/campaigns/webhooklog/ HTTP/1.1" 200 4223
[INFO] 2025-09-09 05:56:20,080 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2929
[INFO] 2025-09-09 05:56:20,100 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
[INFO] 2025-09-09 05:56:20,100 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
[INFO] 2025-09-09 05:56:20,127 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 21207
[INFO] 2025-09-09 05:56:20,128 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2694
[INFO] 2025-09-09 05:56:20,132 basehttp "GET /static/admin/css/login.css HTTP/1.1" 200 958
[INFO] 2025-09-09 05:56:20,139 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 200 18533
[WARNING] 2025-09-09 05:56:20,321 log Not Found: /favicon.ico
[WARNING] 2025-09-09 05:56:20,322 basehttp "GET /favicon.ico HTTP/1.1" 404 2587
[INFO] 2025-09-09 05:56:24,069 basehttp "POST /admin/login/?next=/admin/campaigns/webhooklog/ HTTP/1.1" 302 0
[INFO] 2025-09-09 05:56:24,350 basehttp "GET /admin/campaigns/webhooklog/ HTTP/1.1" 200 11650
[INFO] 2025-09-09 05:56:24,460 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
[INFO] 2025-09-09 05:56:24,460 basehttp "GET /static/admin/css/changelists.css HTTP/1.1" 200 6566
[INFO] 2025-09-09 05:56:24,460 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 8943
[INFO] 2025-09-09 05:56:24,460 basehttp "GET /static/admin/js/core.js HTTP/1.1" 200 5682
[INFO] 2025-09-09 05:56:24,494 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
[INFO] 2025-09-09 05:56:24,519 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
[INFO] 2025-09-09 05:56:24,520 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
[INFO] 2025-09-09 05:56:24,521 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 200 7872
[INFO] 2025-09-09 05:56:24,522 basehttp "GET /static/admin/js/filters.js HTTP/1.1" 200 978
[INFO] 2025-09-09 05:56:24,547 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 292458
[INFO] 2025-09-09 05:56:24,570 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 232381
[INFO] 2025-09-09 05:56:24,648 basehttp "GET /static/admin/img/search.svg HTTP/1.1" 200 458
[INFO] 2025-09-09 05:56:24,685 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
[INFO] 2025-09-09 05:56:24,686 basehttp "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
[INFO] 2025-09-09 05:56:27,683 basehttp "GET /admin/auth/user/ HTTP/1.1" 200 13871
[INFO] 2025-09-09 05:56:27,712 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
[INFO] 2025-09-09 05:56:27,770 basehttp "GET /static/admin/img/icon-no.svg HTTP/1.1" 200 560
[INFO] 2025-09-09 05:56:27,771 basehttp "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
[INFO] 2025-09-09 05:56:27,800 basehttp "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
[INFO] 2025-09-09 05:56:55,821 views User logged in: hemy7egr
[INFO] 2025-09-09 05:56:56,045 basehttp "POST /api/auth/login/ HTTP/1.1" 200 314
[INFO] 2025-09-09 05:57:37,953 views User logged in: hemy7egr
[INFO] 2025-09-09 05:57:38,065 basehttp "POST /api/auth/login/ HTTP/1.1" 200 314
[INFO] 2025-09-09 05:58:33,123 views User logged in: hemy7egr
[INFO] 2025-09-09 05:58:33,310 basehttp "POST /api/auth/login/ HTTP/1.1" 200 314
[INFO] 2025-09-09 05:59:45,210 views User logged in: hemy7egr
[INFO] 2025-09-09 05:59:45,338 basehttp "POST /api/auth/login/ HTTP/1.1" 200 314
[ERROR] 2025-09-09 05:59:45,412 views File validation error: No columns to parse from file
[WARNING] 2025-09-09 05:59:45,413 log Bad Request: /api/validate-file/
[WARNING] 2025-09-09 05:59:45,415 basehttp "POST /api/validate-file/ HTTP/1.1" 400 80
[WARNING] 2025-09-09 05:59:45,448 log Bad Request: /api/campaigns/
[WARNING] 2025-09-09 05:59:45,450 basehttp "POST /api/campaigns/ HTTP/1.1" 400 41
[INFO] 2025-09-09 06:01:57,611 views User logged in: hemy7egr
[INFO] 2025-09-09 06:01:57,781 basehttp "POST /api/auth/login/ HTTP/1.1" 200 314
[ERROR] 2025-09-09 06:01:57,809 views File validation error: No columns to parse from file
[WARNING] 2025-09-09 06:01:57,811 log Bad Request: /api/validate-file/
[WARNING] 2025-09-09 06:01:57,813 basehttp "POST /api/validate-file/ HTTP/1.1" 400 80
[WARNING] 2025-09-09 06:01:57,843 log Bad Request: /api/campaigns/
